title,body,label
یک توصیه‌ مهم به افراد کم‌تحرک,"پزشکان بر اساس یک بررسی جامع تاکید کردند که حتی وقفه‌های کوتاه در نشستن‌های طولانی‌ می‌تواند تاثیرات نامطلوبِ متابولیکی ناشی از کم‌تحرکی را کاهش دهد.به گزارش ایسنا، امروزه در جوامع غربی (و جوامعی با الگوی زندگی غربی) نشستن‌های طولانی به یک رفتار عادی در سبک زندگی روزانه تبدیل شده و اکثر افراد در محل کار، هنگام تماشای تلویزیون یا انجام بازی‌های رایانه‌ای مدت زمان زیادی از روز را بدون فعالیت بدنی می‌گذرانند.از سوی دیگر نیز کارشناسان سلامت بیش از گذشته بر پیامدهای زندگی با سبک کم‌تحرک تاکید دارند.دکتر ""مردیت پدی"" از نویسندگان این مطالعه در نیوزیلند می‌گوید: بیشتر افراد حدود ۷۵ درصد از روز را در وضعیت نشسته و بدون فعالیت بدنی می‌گذرانند. این الگوی رفتاری احتمال ابتلا به دیابت، بیماری قلبی-عروقی، برخی انواع سرطان و در مجموع مرگ زود هنگام را افزایش می‌دهد.همه ما باید روش‌هایی را برای پرهیز از نشستن‌های طولانی پیدا کنیم و میزان تحرک خود را در طول روز افزایش دهیمهنوز علت دقیق اثرات مضر نشستن‌های طولانی بر سلامت مشخص نیست اما کارشناسان بر این باورند که فاکتورهای سوخت و ساز می‌توانند نقش کلیدی در این زمینه داشته باشند. به طور مثال، نشستن‌های طولانی حساسیت انسولین و مقاومت گلوکز را کاهش داده درحالیکه سطح تری‌گلیسیرید -عنصر اصلی چربی بدن- در خون را افزایش می‌دهد.گروهی از متخصصان به بررسی این موضوع پرداختند که آیا اِعمال تغییرات کوچک رفتاری در به حداقل رساندن برخی از تاثیرات عروقی و متابولیکی ناشی از نشستن‌های طولانی موثر هستند؟در این بررسی متخصصان به ارزیابی ۴۴ مطالعه موجود پرداختند که بر وقفه‌های کوتاه در نشستن‌های طولانی با انجام انواع حرکات متمرکز بوده‌اند.به گزارش مدیکال نیوز تودی، این متخصصان مشاهده کردند حتی فعالیت سبک در هر ۳۰ دقیقه تاثیرات چشمگیری بر وضعیت سلامت دارد.فعالیت بدنی به ""هر میزان و شدت"" به کاهش غلظت گلوکز و انسولین در خون تا ۹ ساعت بعد از صرف یک وعده غذایی منجر می‌شود.این متخصصان در نهایتِ شگفتی مشاهده کردند که تغییرات مفید ناشی از ""تحرک و جابه‌جایی"" تحت تاثیر فاکتورهای دیگری چون شدت فعالیت، سن یا حتی وزن شرکت‌کنندگان قرار نمی‌گیرد.آنها با توجه نتایج این مطالعات تاکید کردند: همه ما باید با توجه به نوع کار و زندگی روزمره به هر نحوی که می‌توانیم روش‌هایی را برای پرهیز از نشستن‌های طولانی پیدا کنیم و میزان تحرک خود را در طول روز افزایش دهیم.",0
آزمایش DNA روی مومیایی‌های سه‌انگشتی در پرو نشان داده آنها موجودات فرازمینی هستند,"دکتر کنستانتین کورتکوف استاد علوم کامپیوتر و بیوفیزیک دانشگاه سن پترزبورگ بیان کرد که جمجمه این مومیایی‌ها با جمجمه انسان متفاوت است و اندازه‌ای بزرگ دارد. اکنون متخصصان روس با انجام آزمایش‌های دی‌ان‌آ بر این باورند که این مومیایی‌ها متعلق به انسان نبوده و متعلق به موجودات فرازمینی هستند که زمانی دور در پرو زندگی می‌کردند.
در تصاویر منتشر شده از این مومیایی‌ها، انگشتان دست و پا مومیایی‌ها ۳ عدد بوده و اندازه آنها بسیار بلند است و با انگشت انسان‌ها بسیار متفاوت است. به گفته محققان ۵ مومیایی با این شکل در غاری در شهر «نازکا» پرو پیدا شده‌اند که به قرن پنجم میلادی باز می‌گردد.
برخی دیگر از کارشناسان این مومیایی‌ها را تقلبی خوانده که با پودری سفید رنگ پوشانده شده‌اند و طول آنها ۱,۶۸ متر است. محققان سعی دارند با انجام سی‌تی اسکن و آزمایش‌های دی‌ان‌آ هویت این مومیایی‌های شگفت‌انگیز را دریابند این در حالی است که کارشناسان یوفو، مومیایی‌ها را بقایای موجودات فرازمینی عنوان کرده‌اند.",1
سارق حرفه‌ای خودرو در دام پلیس,رئیس پایگاه دوم پلیس آگاهی تهران بزرگ، از دستگیری سارقی حرفه‌ای در زمینه سرقت خودرو خبر داد که مدعی بود برای تفریح کردن به تهران آمده که توسط پلیس دستگیر شده است.به گزارش ابتکار، رئیس پایگاه دوم سرهنگ کارآگاه محسن معظمی گودرزی اظهار داشت: ۲۶ خردادماه امسال بود که پرونده‌ای با موضوع کشف یک دستگاه خودرو پژو پارس به همراه یک متهم از کلانتری ۱۸۱ عوارضی جهت رسیدگی تخصصی در اختیار پایگاه دوم پلیس آگاهی قرار گرفت.در تحقیقات اولیه مشخص شد که متهم دستگیر شده به همراه دو نفر دیگر قصد سرقت یک دستگاه پژو پارس را داشتند که با حضور ماموران کلانتری اقدام به فرار کرده، اما پس از تعقیب و گریز یکی از سارقین دستگیر و ۲ نفر دیگر از محل متواری شدند.متهم دستگیر شده در شرایطی مدعی بود که به همراه دوستانش برای تفریح کردن به تهران آمده که مشخص شد خودرو پژو پارس توقیف شده دارای سابقه سرقت است و همچنین آلات و ادوات ویژه سرقت خودرو نیز از داخل خودرو کشف شده بود.در ادامه تحقیقات و با بهره گیری از بانک اطلاعات مجرمین سابقه دار در پلیس آگاهی، کارآگاهان ضمن شناسایی هویت واقعی متهم بنام «اصغر. ر» که در مراحل اولیه‌ دستگیری خودش را با هویت مجعول به مامورین معرفی کرده بود اطلاع پیدا کردند که وی یکی از مجرمین سابقه دار و حرفه‌ای در زمینه سرقت با ۸ فقره سابقه محکومیت کیفری است.سرهنگ کاراگاه محسن معظمی گودرزی با اشاره به ادامه رسیدگی به این پرونده جهت شناسایی دیگر جرایم ارتکابی اعضای این گروه از سارقین خودرو گفت: با توجه به شواهد و دلایل بدست آمده متهم دستگیر شده که چاره‌ای جز اعتراف نداشت صراحتا به بیش از ۱۵ فقره سرقت خودرو و همچنین معرفی دو همدست خود اعتراف کرد که با انجام تحقیقات شبانه روزی تعدادی از محل‌های سرقت و مالباختگان و همچنین خودرو‌های مسروقه کشف شد و در حال حاضر ضمن هماهنگی با بازپرس محترم شعبه ۱۵ دادسرای ناحیه ۵ تهران، اقدامات جهت دستگیری دیگر متهمین پرونده در دستور کار کارآگاهان پایگاه دوم پلیس آگاهی تهران بزرگ قرار گرفته است.,0
هشدار: زیتون سیاه نخرید!,ایسنا: يک کارشناس کشاورزي گفت: هم اکنون زيتون‌هاي سياه تقلبي وارد بازار کشور شده و به طور گسترده نيز در کشور توزيع شده است، اما مصرف اين زيتون‌ها عوارض بسيار وخيم و ناگواري براي سلامتي انسان به دنبال دارد.کريم مصطفوي اظهار كرد: در کل دنيا دو نوع زيتون سياه وجود دارد. يکي زيتون‌هايي است که عمدتاً در کشورهاي اسپانيا و ايتاليا توليد مي‌شود و رقم آنها، زيتون سياه است که تاکنون از اين نوع زيتون‌ها وارد کشور نشده و اين زيتون در کشور وجود ندارد.وي ادامه داد: نوع ديگر اين زيتون‌ها، زيتون سياهي است که کشورهايي مثل ترکيه و لبنان با خريد زيتون سبز معمولي، آنها را با استفاده از سولفات آهن، فرآوري كرده و در بازارهاي کشور و دنيا توزيع مي‌كنند.اين مقام مسئول با بيان اينکه کشور ترکيه از طرق مختلف اين زيتون‌ها را فرآوري مي‌کند، عنوان کرد: اين فرآوري باعث مي‌شود که زيتون خام به زيتون سياه تبديل شود كه استفاده از آن از لحاظ سلامتي خطرات عمده‌اي براي فرد به همراه دارد.رييس ايستگاه تحقيقاتي زيتون طارم ادامه داد: فرآوري اين زيتون‌ها به گونه‌اي انجام مي‌شود که مردم عادي قادر به تشخيص اصلي يا تقلبي بودن آنها نيستند و تنها افراد متخصص مي‌توانند با انجام آزمايش‌هاي لازم به تقلبي بودن آنها پي ببرند.اين کارشناس به عوارض استفاده از اين زيتون‌ها اشاره کرد و گفت: مصرف اين نوع زيتون‌هاي تقلبي، عوارض فراواني در مغز و معده ايجاد مي‌كند. همچنين به دليل استفاده بيش از حد مواد شيميايي، کليه فرد به صورت کامل از کار مي‌افتد و فرد در معرض خطرات بي‌شماري قرار مي‌گيرد.مصطفوي بيان کرد: شباهت اين زيتون‌هاي تقلبي به زيتون‌هاي اصلي تا اندازه‌اي است که تشخيص آنها به هيچ وجه ممکن نيست و تنها کارشناسان با حضور در آزمايشگاه و انجام آزمايش‌هاي لازم مي‌توانند اين امر را تشخيص دهند. البته هم اکنون اين زيتون‌هاي سياه اصلي در کشور وجود ندارد و مي‌توان گفت تمامي زيتون‌هاي موجود در بازار تقلبي هستند.وي تصريح كرد: وجود زيتون و روغن زيتون‌هاي تقلبي در بازار، اطمينان از اصلي و سالم بودن اين محصول کشاورزي در هنگام خريد از سوي مردم را ضروري مي‌سازد.اين مقام مسئول با بيان آنکه مردم تا از برندها و الصاق‌هاي نصب شده بر روي ظروف مطمئن نشده‌اند، نبايد اين کالا را خريداري کنند،‌ توصيه کرد: از آنجا که انواع مواد شيميايي که رنگ محصولات کشاورزي را تغيير مي‌دهد، براي سلامتي انسان مضر است، از اين محصولات استفاده نشود.,0
نه فقط ما که تمام دنیا روی لباس حساس هستند. در کشورهای لائیک دانشگاه‌ها و برخی رستوران‌ها قانون پوشش دارند.,کشورهای لائیک و بی‌دینی وجود دارند که نسبت به پوشش حساس هستند و حتی برای ورود به برخی رستوران‌ها، قانون لباس را دارند و باید با فلان لباس و فلان کفش و... وارد این رستوران شوید و یا اگر می‌خواهید وارد دانشگاه شوید، باید قوانین مربوط به پوشش را رعایت کنید و بدون رعایت این قانون، حق ورود به دانشگاه ندارید. چه کسی گفته است ما تنها گروهی هستیم که بر روی مسئله لباس حساسیم؟ تمام دنیا حساس هستند و قوانینی برای آن دارند. ما چون فرهنگ خود را از اسلام گرفته‌ایم، خداوند می‌فرماید جایگاه زن باید جایگاه باوقاری باشد و نباید نگاه جنسی به او باشد و باید با پوشش مناسب، رفت و آمد داشته باشد. جمهوری ما اسلامی است و باید بر اساس اسلام، رفتار نموده و مطابق با آموزه های دینی عمل کنیم و جزو وظایف حاکمیت می‌شود که بر روی مسئله حجاب نظارت داشته باشد. عمل به قانون حجاب، تکلیف حاکمیت است و هیچ مسئولی حق تخطی از آن ندارد.,1
هیچ جای فایل صوتی مکالمه خلبان پرواز آسمان با برج مراقبت به ما نمی‌گوید که موشک زده شده است.,"محمود واعظی رییس دفتر رییس‌جمهوری پس از جلسه هیات دولت در جمع خبرنگاران در پاسخ به پرسشی درباره انتشار فایل صوتی هواپیمای اوکراینی مدعی می‌شود که در مکالمه بین خلبان پرواز آسمان و برج مراقبت اشاره‌ای به شلیک موشک نمی‌شود و می‌گوید:

هیچ جای این فایل صوتی به ما نمی‌گوید که موشک زده شده بلکه صحبت از نقطه‌ای نورانی در حال حرکت است. از برج می‌پرسد این چیست که برج هم می‌گوید مشکلی نیست. 

او همچنین گفت: دولت با مردم صادق بوده است و ما هم معترض بودیم که چرا مطلع نبودیم.",1
سرعت وای فای کره جنوبی ۵ برابر شد,به گزارش تابناک به نقل از زد دی نت، بنا بر اعلام وزارت علوم و آی سی تی کره جنوبی، آزاد شدن این طیف فرکانسی موجب می‌شود تا سرعت بارگذاری اطلاعات از اینترنت به ۲.۱ گیگابیت بر ثانیه برسد که تحولی مهم محسوب می‌شود.مهر نوشت؛ وزارتخانه یادشده می‌گوید طیف فرکانسی ۱.۲ گیگاهرتز را بر روی باند ۶ گیگاهرتز آزاد کرده که بر روی برد ۵.۹۲۵ مگاهرتز تا ۷.۱۲۵ مگاهرتز قرار می‌گیرد. آمریکا در آوریل گذشته این طیف فرکانسی را برای استفاده از شبکه‌های وای فای آزاد کرده بود.این سرعت ۵ برابر سریع‌تر از سرعت شبکه‌های وای فای فعلی است. شبکه‌های وای فای فعلی حدود ۴۰۰ تا ۶۰۰ مگابیت بر ثانیه سرعت دارند.خدمات وای فای با این تحول هم برای شبکه‌های خانگی و هم برای شبکه‌های عمومی در کره جنوبی به طور گسترده در دسترس قرار می‌گیرد.کره جنوبی با این تصمیم استفاده از شبکه‌های وای فای را حتی بعد از راه اندازی گسترده شبکه‌های نسل پنجم تلفن همراه منطقی کرده، در غیر این صورت سرعت شبکه‌های وای فای بسیار پایین‌تر از شبکه‌های نسل پنجم باقی می‌ماند و تقاضای بازار برای آنها کاهش می‌یافت.,0
آمریکا ۵۵ هزار میلیارد دلار هزینه راه‌اندازی شبکه‌ها و رسانه‌ها برای هدایت اعتراضات کرده است.,"سرتیپ پاسدار حسن حسن‌زاده، فرمانده سپاه محمد رسول‌الله تهران بزرگ که روز ۱۱ آذرماه ۱۴۰۱ در جمع شماری از فرماندهان سپاه و بسیج سخنرانی می‌کرد، مدعی شد که آمریکا ۵۵ هزار میلیارد دلار برای هدایت اعتراضات در ایران هزینه کرده‌است. او گفت:

«شما ببینید امروز آمریکایی‌ها تمام همتشان این است که شبکه‌ها را فعال کرده‌اند، ۵۵ هزار میلیارد دلار هزینه کرده‌اند برای اینکه بیایند این شبکه‌ها را راه بیندازند به یک عده‌ای یاد بدهند، یک شیشه‌ای را بردارند مثل شیشه مثلا نوشابه و دوغ و این چیزها، توش بنزین بریزند، روش یک پنبه‌ای بگذارند. امروز بعد از ۴۳ سال قدرت آمریکا این است که تو شبکه‌ها یک چیزی درست بکنید بزنید به یک جا آتش بگیرد.»",1
پشه‌های رباتیک و تغییر ژنتیک داده شده بیل گیتس در روسیه رهاسازی شدند.,پشه‌های بیل گیتس که تغییر ژنتیک داده شده هستند تا به اصطلاح خودشان، با پشه‌های حامل بیماری جفت‌گیری کرده و به مرور زمان این‌پشه‌های حامل بیماری ریشه کن شوند. اما در عوض می‌بینیم که این تنها پشه‌هایی نیست که بیل گیتس و رسانه‌هاش ازش یاد می‌کنند، بلکه پشه‌های رباتیک نیز رهاسازی شده‌اند. چرا باید پشه‌های رباتیک حامل ماده سبز رنگ رها‌سازی شوند؟ حداقل خوبه همه میدونیم که این پشه‌ها خود به خود به طور طبیعی متولد نشده‌اند. و گرنه قطعا می‌گفتند که طبیعی هستند. اما این‌ پشه‌های حامل مواد تزریقی سبز رنگ دارای کد و شماره شناسایی برای چه مقصودی رهاسازی شده‌اند؟,1
بعید می‌دانم بستن داروخانه و رستوران به‌ علت بی‌حجابی باشد,"محمد مهدی اسماعیلی، وزیر فرهنگ و ارشاد اسلامی روز ۱۲ بهمن گفت: «بعید می‌دانم بستن داروخانه و رستوران به‌ علت بی‌حجابی باشد، و ممکن است به دلیل عدم رعایت قانون در برخی از موارد باشد.»

او که در حاشیه جلسه هیات دولت با خبرنگاران حرف می‌زد در همزمان از تاسیس نهادی با عنوان «قرارگاه زیست عفیفانه» خبر داد و تاکید کرد :«دولت معتقد است که مساله حجاب یک مسئله فرهنگی و اجتماعی است و این مساله جز راه فرهنگی و اجتماعی راه دیگری برای مدیریت ندارد.»

اسماعیلی گفت که برخورد با موضوع حجاب به خواست ابراهیم رییسی، به قالب فرهنگی رفته و به وزارت ارشاد واگذار شده ‌است. این اظهارنظر هم که بستن داروخانه و رستوران تاکنون به علت بی‌حجابی صورت نگرفته، در پاسخ به سوال خبرنگاری بود که پرسید آیا پلمب کردن مکان‌هایی مثل داروخانه‌ها و … هم جزو مسئولیت «قرارگاه زیست عفیفانه» زیر نظر وزارت ارشاد است یا وزارت کشور.",1
